crop,area,rainfall,temperature,humidity,fertilizer,season,yield
Cotton,11.51,102.81,19.41,38.02,106.9,Rabi,1.437
Wheat,8.48,261.5,37.38,66.43,78.79,Zaid,2.618
Rice,3.14,307.28,33.77,92.26,42.1,Zaid,1.606
Rice,14.24,71.15,14.97,69.82,59.7,Kharif,1.853
Soybean,10.41,216.85,28.05,53.69,194.41,Kharif,1.573
Wheat,3.89,36.68,38.0,85.0,234.15,Kharif,1.756
Pulses,19.17,325.63,32.3,44.26,230.94,Kharif,0.604
Sugarcane,7.21,107.92,24.61,34.63,37.69,Kharif,53.563
Soybean,0.67,237.19,35.01,77.84,185.91,Kharif,1.916
Rice,17.31,323.14,28.84,32.49,136.62,Rabi,2.055
Pulses,5.33,71.51,39.77,47.66,48.1,Rabi,0.689
Wheat,19.42,367.37,17.92,64.26,35.12,Rabi,2.373
Wheat,16.58,235.56,34.76,44.82,224.71,Kharif,2.607
Wheat,13.92,373.53,14.85,76.8,63.3,Kharif,2.642
Sugarcane,12.85,300.7,26.52,36.16,236.68,Kharif,48.389
Maize,10.27,223.94,30.15,50.53,215.03,Zaid,4.488
Cotton,18.36,389.15,14.26,49.03,123.72,Rabi,1.248
Cotton,11.33,164.4,11.41,79.13,206.33,Zaid,1.22
Maize,5.06,296.06,10.16,89.81,242.81,Rabi,3.138
Sugarcane,15.27,252.86,38.47,49.65,7.4,Rabi,41.62
Soybean,8.36,99.43,39.59,90.74,3.59,Rabi,0.789
Maize,4.85,103.52,10.51,78.0,168.14,Kharif,4.191
Wheat,11.43,38.61,31.07,89.79,177.24,Zaid,1.939
Cotton,9.45,59.62,36.58,72.35,52.96,Zaid,1.377
Sugarcane,3.7,249.0,17.33,94.94,141.61,Rabi,65.762
Maize,6.96,46.54,21.82,50.51,229.26,Kharif,4.018
Cotton,6.33,198.02,23.6,66.57,182.44,Kharif,1.99
Cotton,15.56,261.88,22.36,45.35,207.81,Rabi,1.471
Maize,15.59,385.8,35.25,78.53,13.61,Zaid,2.64
Tea,11.29,144.35,30.37,62.42,33.64,Kharif,1.49
Maize,10.59,297.09,32.86,75.6,166.47,Zaid,4.321
Soybean,17.04,101.15,23.04,60.81,33.02,Rabi,1.206
Maize,15.9,189.27,14.2,93.22,88.93,Kharif,4.748
Rice,10.65,111.6,25.25,68.65,4.24,Rabi,1.458
Tea,8.11,326.43,11.27,59.87,68.16,Rabi,1.047
Rice,4.61,378.86,24.74,47.56,90.11,Kharif,2.047
Sugarcane,15.74,361.64,12.22,40.93,165.19,Zaid,37.87
Soybean,13.23,99.67,22.68,34.13,16.96,Kharif,1.002
Rice,3.46,267.08,36.93,77.84,233.28,Zaid,1.843
Soybean,19.79,193.03,21.35,79.99,226.11,Zaid,1.265
Rice,2.1,206.79,37.48,70.77,176.62,Zaid,1.951
Wheat,19.02,59.39,30.83,64.01,96.36,Zaid,2.739
Soybean,17.18,329.78,26.43,87.97,181.84,Rabi,1.217
Sugarcane,5.44,117.3,32.1,41.92,42.73,Rabi,58.502
Wheat,12.48,393.06,10.11,58.02,169.02,Kharif,2.154
Tea,2.24,268.3,37.83,33.93,67.68,Zaid,1.081
Sugarcane,5.51,255.63,12.08,75.66,19.33,Kharif,46.059
Maize,15.26,133.28,32.63,46.53,77.46,Kharif,6.088
Sugarcane,12.54,111.28,12.9,91.11,152.66,Kharif,54.311
Maize,13.87,312.4,25.68,53.94,96.62,Rabi,6.028
Soybean,15.86,297.16,36.78,37.65,59.05,Kharif,1.302
Sugarcane,17.64,232.63,30.36,90.79,139.94,Rabi,74.849
Soybean,15.54,137.41,16.95,85.64,148.23,Kharif,1.543
Cotton,14.46,322.71,19.48,53.18,100.12,Rabi,1.765
Maize,3.58,223.49,26.07,45.31,42.19,Rabi,5.87
Maize,5.66,131.19,15.1,69.95,231.04,Rabi,4.939
Sugarcane,1.17,28.3,15.0,36.54,200.82,Kharif,35.247
Sugarcane,8.89,393.7,34.31,43.89,157.38,Zaid,38.954
Sugarcane,17.38,237.3,12.01,43.54,124.53,Zaid,50.584
Tea,7.83,305.25,27.89,30.28,134.06,Rabi,1.173
Wheat,4.09,353.35,17.33,67.77,184.67,Zaid,2.213
Sugarcane,4.65,343.11,38.01,36.73,0.87,Zaid,25.755
Rice,15.49,136.26,24.71,47.77,113.95,Zaid,2.397
Rice,12.54,33.8,11.22,51.63,236.78,Kharif,1.159
Rice,3.77,213.94,32.71,37.16,204.27,Rabi,1.774
Sugarcane,2.03,60.08,11.92,62.36,214.21,Rabi,37.01
Maize,10.55,180.56,16.15,64.99,160.98,Zaid,4.209
Rice,19.22,30.47,10.96,75.59,176.9,Rabi,1.5
Cotton,7.12,75.05,31.69,88.38,183.69,Zaid,1.226
Wheat,18.8,375.35,24.66,89.65,182.61,Rabi,2.512
Wheat,10.23,91.19,32.2,81.92,34.11,Rabi,2.246
Maize,14.24,64.15,18.95,47.0,42.56,Zaid,3.296
Sugarcane,15.84,394.82,24.83,55.71,191.02,Zaid,52.938
Maize,4.23,231.57,11.46,44.27,204.3,Kharif,4.07
Rice,7.25,184.25,24.43,59.2,124.37,Rabi,2.974
Wheat,15.38,82.5,22.12,62.41,166.59,Zaid,2.67
Tea,2.89,146.08,33.28,77.59,23.9,Kharif,1.138
Cotton,9.09,197.11,13.13,42.87,111.71,Kharif,1.676
Tea,8.14,251.55,34.95,44.15,27.02,Kharif,1.088
Soybean,19.15,262.46,36.05,42.46,47.26,Kharif,1.416
Soybean,4.04,179.06,33.94,34.42,4.49,Zaid,0.761
Rice,5.22,383.66,34.49,47.44,57.83,Zaid,1.733
Rice,13.39,32.9,39.48,70.04,14.73,Rabi,1.206
Wheat,18.74,119.91,33.33,65.29,83.11,Kharif,3.431
Cotton,9.39,245.49,20.44,58.34,139.35,Rabi,2.229
Soybean,5.43,209.5,32.87,88.32,68.06,Rabi,1.5
Pulses,4.92,29.43,36.51,48.73,201.34,Kharif,0.538
Sugarcane,3.2,132.33,18.87,55.97,163.94,Kharif,72.332
Cotton,16.26,93.83,30.44,53.48,83.78,Zaid,1.612
Wheat,11.05,143.63,30.01,60.44,30.99,Kharif,3.009
Cotton,1.66,89.1,30.62,42.55,119.05,Zaid,1.305
Maize,10.75,214.71,36.4,93.14,71.24,Zaid,4.524
Soybean,17.46,227.27,25.79,58.74,107.0,Rabi,2.15
Pulses,14.53,82.38,32.24,91.62,214.33,Rabi,0.641
Wheat,0.81,223.41,16.54,45.5,68.8,Rabi,2.808
Pulses,5.83,138.44,33.71,67.61,170.7,Rabi,1.024
Pulses,2.73,181.73,39.11,56.75,28.73,Zaid,0.679
Cotton,2.79,275.74,28.78,56.56,159.69,Rabi,1.946
Pulses,3.71,199.41,13.79,56.99,83.41,Kharif,0.968
Sugarcane,13.56,65.87,25.11,67.11,180.43,Zaid,44.538
Sugarcane,2.08,313.45,24.5,35.67,44.24,Rabi,49.725
Tea,14.51,251.14,14.58,89.71,95.89,Kharif,1.309
Pulses,4.59,209.1,12.28,59.06,134.1,Rabi,0.808
Cotton,9.9,110.39,29.36,48.78,23.62,Rabi,1.253
Pulses,17.93,254.77,31.1,62.21,44.46,Kharif,1.093
Tea,7.21,345.75,30.06,57.37,80.25,Zaid,1.153
Tea,15.3,239.78,31.94,75.47,185.56,Zaid,1.451
Cotton,10.28,389.87,17.66,35.17,210.72,Kharif,1.183
Sugarcane,19.64,265.67,24.85,57.46,8.15,Zaid,37.845
Tea,8.73,194.76,26.67,34.06,203.75,Rabi,1.244
Soybean,1.59,160.31,29.1,82.66,93.14,Zaid,1.687
Pulses,9.65,240.82,30.99,57.69,69.05,Zaid,0.899
Sugarcane,7.15,160.32,34.22,31.65,159.67,Kharif,62.914
Soybean,17.48,55.1,33.74,93.17,220.72,Zaid,0.834
Soybean,0.91,116.75,14.06,37.49,50.2,Rabi,1.258
Maize,13.76,122.95,26.89,39.9,21.69,Rabi,3.923
Tea,18.37,377.13,18.43,71.53,109.72,Kharif,1.435
Sugarcane,0.8,74.0,31.04,53.73,223.28,Rabi,56.992
Pulses,7.54,72.98,16.17,33.91,27.57,Rabi,0.484
Wheat,0.78,372.55,22.82,72.07,136.07,Kharif,3.206
Rice,5.28,332.48,31.29,92.36,105.64,Kharif,1.972
Wheat,3.91,346.03,29.09,30.4,137.79,Rabi,2.248
Wheat,18.07,107.23,14.8,56.5,134.4,Rabi,2.637
Tea,16.28,189.43,20.72,91.76,79.79,Kharif,1.634
Maize,18.83,330.0,30.06,36.09,3.36,Zaid,2.391
Tea,12.55,166.95,11.82,94.4,204.83,Zaid,1.026
Soybean,6.59,350.37,24.84,78.43,8.19,Zaid,0.95
Cotton,10.49,309.35,21.69,44.13,59.09,Rabi,1.553
Soybean,10.62,307.37,15.49,66.56,216.65,Kharif,1.37
Rice,18.68,93.91,39.03,37.32,180.54,Rabi,1.569
Pulses,11.52,247.97,39.42,52.32,135.34,Kharif,1.121
Sugarcane,13.8,200.98,33.49,44.86,202.9,Kharif,64.256
Soybean,2.08,358.16,11.98,82.43,96.55,Zaid,1.087
Rice,3.23,100.4,23.85,34.79,245.55,Zaid,1.546
Soybean,2.74,218.31,38.41,68.21,105.02,Zaid,1.539
Maize,19.65,295.49,19.4,77.49,140.03,Rabi,4.927
Wheat,9.04,296.35,33.67,31.92,114.72,Zaid,2.156
Wheat,1.11,307.04,27.69,45.1,196.65,Zaid,2.506
Rice,18.87,387.63,10.95,39.86,74.64,Rabi,1.583
Sugarcane,10.55,245.71,26.39,65.78,242.9,Rabi,66.879
Soybean,18.35,126.52,13.84,86.49,246.11,Rabi,1.182
Sugarcane,14.46,302.55,14.59,70.69,99.0,Rabi,62.857
Tea,18.31,158.14,22.71,36.79,26.4,Kharif,1.17
Maize,12.26,370.36,25.17,94.54,67.72,Zaid,4.137
Tea,14.42,336.78,16.72,81.93,9.49,Kharif,0.914
Wheat,19.88,89.91,19.03,77.39,23.25,Kharif,2.375
Rice,8.19,393.78,17.73,66.68,201.74,Kharif,1.828
Pulses,17.17,296.81,39.06,90.95,209.56,Kharif,0.656
Maize,3.28,348.12,11.87,72.02,180.65,Kharif,4.209
Maize,4.38,26.95,35.48,55.75,211.21,Zaid,2.872
Cotton,19.73,375.35,13.56,48.04,207.21,Zaid,0.941
Wheat,19.79,251.3,31.63,81.08,147.5,Rabi,3.008
Wheat,1.04,235.66,12.49,71.13,24.26,Kharif,2.151
Sugarcane,11.94,394.93,11.51,62.2,121.98,Rabi,44.286
Maize,4.21,297.47,30.99,39.52,226.22,Zaid,3.338
Maize,10.07,53.32,17.52,87.02,190.02,Zaid,3.058
Pulses,9.51,304.66,21.24,63.11,166.19,Rabi,0.874
Soybean,5.63,178.01,34.68,84.11,106.74,Zaid,1.361
Wheat,6.31,246.32,19.19,35.42,103.27,Kharif,3.087
Wheat,14.83,110.06,20.23,43.41,94.64,Kharif,3.132
Tea,9.65,47.9,27.32,36.69,62.32,Kharif,1.212
Pulses,17.48,336.82,16.55,85.06,174.62,Rabi,0.63
Soybean,17.69,337.57,11.53,73.0,8.76,Kharif,0.867
Cotton,7.61,160.41,19.66,36.91,79.45,Rabi,1.645
Wheat,16.73,308.64,10.68,66.0,77.68,Zaid,2.339
Pulses,3.42,190.91,29.01,92.1,234.16,Kharif,0.88
Pulses,19.91,336.39,35.32,56.93,181.17,Kharif,0.805
Tea,10.73,195.82,31.11,48.05,131.63,Rabi,1.594
Maize,10.73,24.59,35.54,75.01,78.0,Zaid,3.458
Tea,6.72,203.92,38.97,57.23,234.23,Zaid,1.094
Sugarcane,17.38,54.47,10.4,76.26,54.71,Rabi,48.158
Wheat,13.24,367.18,27.11,86.48,105.38,Kharif,3.029
Maize,6.54,383.05,20.26,93.24,149.74,Zaid,4.011
Tea,7.62,87.55,15.59,69.6,71.65,Zaid,1.026
Rice,5.9,126.58,10.62,89.68,216.12,Kharif,1.689
Rice,14.11,266.3,35.75,85.41,239.08,Rabi,1.722
Cotton,8.56,330.76,26.97,64.41,241.77,Kharif,1.297
Pulses,6.49,67.89,24.24,37.14,35.93,Rabi,0.619
Maize,6.13,96.16,31.99,58.05,98.83,Kharif,5.102
Sugarcane,9.6,36.01,27.12,77.08,70.93,Zaid,46.619
Rice,6.88,261.16,18.22,43.4,84.08,Kharif,2.436
Pulses,2.47,218.3,15.1,84.79,101.28,Rabi,0.79
Maize,9.27,326.86,17.98,56.43,172.61,Kharif,4.895
Tea,18.14,318.73,15.73,49.48,23.11,Zaid,0.825
Wheat,16.45,124.24,36.12,58.37,171.22,Rabi,2.769
Rice,6.84,113.57,16.16,74.51,121.53,Rabi,2.067
Soybean,5.17,147.66,38.59,36.68,64.4,Rabi,1.408
Tea,13.21,345.85,13.81,72.54,109.17,Rabi,1.239
Cotton,0.73,85.89,27.1,33.34,20.89,Zaid,0.925
Rice,0.8,241.97,39.4,73.45,59.94,Rabi,2.269
Wheat,4.93,94.87,10.23,59.72,60.26,Zaid,2.277
Tea,14.74,286.31,35.04,40.26,149.87,Rabi,1.305
Maize,19.09,100.08,19.66,90.77,188.34,Kharif,4.297
Soybean,15.68,299.69,28.85,35.17,127.92,Kharif,1.346
Maize,13.49,235.68,22.25,53.99,35.36,Zaid,4.842
Maize,15.73,280.16,11.47,47.19,63.66,Rabi,4.044
Wheat,5.27,66.12,13.76,77.01,243.04,Rabi,1.778
Cotton,14.25,242.06,33.14,58.6,184.19,Rabi,1.859
Rice,3.99,327.53,35.48,64.89,223.26,Zaid,1.574
Soybean,1.07,323.67,15.88,46.95,96.85,Zaid,1.202
Tea,14.28,371.28,12.6,76.07,186.09,Rabi,1.068
Rice,10.04,263.2,25.0,32.34,79.66,Rabi,1.923
Wheat,9.68,159.78,10.93,76.38,10.96,Rabi,1.862
Pulses,14.48,353.26,10.17,94.31,41.81,Rabi,0.551
Cotton,14.53,349.2,12.32,65.25,214.17,Zaid,1.028
Maize,14.82,32.1,21.23,57.51,184.08,Kharif,4.088
Maize,2.53,96.22,18.46,39.41,34.62,Rabi,4.115
Maize,16.48,166.15,11.58,31.17,226.78,Rabi,3.267
Wheat,18.08,358.24,26.95,62.26,45.15,Rabi,2.782
Sugarcane,6.0,64.92,28.08,36.07,244.2,Kharif,47.628
Maize,7.83,168.1,15.19,34.03,246.68,Zaid,3.222
Cotton,11.89,143.63,31.53,68.68,77.11,Kharif,2.271
Tea,15.74,389.17,29.66,65.77,33.77,Rabi,1.087
Cotton,10.75,195.73,27.07,38.93,117.1,Rabi,1.786
Tea,16.19,266.66,12.09,60.42,166.3,Zaid,1.146
Pulses,6.37,22.43,14.22,62.74,122.93,Zaid,0.457
Cotton,7.38,313.85,16.58,72.12,204.51,Rabi,1.408
Maize,8.31,224.18,24.16,37.04,23.57,Rabi,4.047
Maize,8.49,113.3,38.07,67.64,17.31,Rabi,3.773
Pulses,4.58,111.84,38.75,43.51,2.84,Zaid,0.402
Wheat,4.96,314.18,18.43,89.88,17.42,Kharif,1.89
Pulses,2.26,275.61,25.2,62.58,51.08,Zaid,0.856
Maize,19.42,71.7,30.33,69.94,131.54,Kharif,5.02
Rice,3.47,399.7,18.66,59.21,135.71,Zaid,1.784
Wheat,19.16,356.94,22.73,31.63,73.18,Zaid,2.0
Wheat,16.35,102.51,20.8,82.68,85.04,Rabi,3.048
Maize,2.75,168.97,24.41,94.2,206.44,Rabi,4.932
Maize,11.4,312.25,22.99,87.65,132.3,Rabi,5.159
Cotton,16.3,290.44,27.89,75.65,82.46,Rabi,1.746
Pulses,17.53,174.14,28.44,57.4,1.55,Kharif,0.651
Rice,12.63,183.88,11.54,43.93,214.02,Zaid,1.396
Pulses,1.37,125.08,23.72,60.42,209.65,Zaid,0.796
Rice,2.99,302.95,16.38,55.5,212.89,Kharif,2.063
Pulses,10.0,103.18,34.37,76.96,39.01,Kharif,0.841
Pulses,4.46,393.43,11.83,64.7,181.14,Rabi,0.608
Sugarcane,15.19,33.61,38.58,35.66,4.41,Kharif,25.368
Soybean,16.25,320.13,31.61,71.66,37.23,Kharif,1.572
Pulses,5.03,101.7,29.25,35.68,13.78,Zaid,0.445
Tea,9.01,27.27,23.18,53.89,127.86,Kharif,1.233
Sugarcane,9.0,270.05,39.31,91.59,79.76,Kharif,67.094
Cotton,18.97,290.61,23.89,33.82,110.63,Kharif,1.602
Wheat,6.53,312.11,15.19,48.45,167.79,Kharif,2.284
Sugarcane,7.98,362.72,36.29,77.84,176.51,Zaid,48.96
Wheat,15.4,383.47,13.09,34.8,104.07,Rabi,1.914
Pulses,1.67,319.71,36.2,50.55,160.55,Rabi,0.779
Maize,11.49,24.68,20.14,61.69,64.42,Rabi,4.064
Pulses,16.14,155.83,31.59,35.2,198.14,Kharif,0.797
Sugarcane,16.4,38.32,37.37,89.51,239.28,Rabi,37.763
Pulses,16.18,283.21,26.23,79.37,124.73,Rabi,0.91
Cotton,13.2,258.73,11.82,93.43,188.34,Kharif,1.234
Maize,16.35,76.92,20.63,50.72,89.89,Rabi,5.367
Sugarcane,7.08,342.33,25.97,82.24,199.65,Rabi,54.978
Tea,2.93,145.31,16.69,57.48,52.88,Zaid,1.576
Pulses,0.72,46.61,21.08,73.44,175.72,Kharif,0.669
Pulses,11.31,295.3,16.26,50.0,238.17,Zaid,0.622
Pulses,3.72,352.94,10.26,52.86,15.11,Rabi,0.409
Maize,0.71,285.87,37.5,30.08,191.28,Rabi,3.626
Soybean,19.14,221.22,34.74,79.02,78.3,Rabi,1.82
Pulses,14.83,80.9,26.64,73.75,247.84,Rabi,0.609
Tea,13.68,239.2,11.61,80.91,247.75,Kharif,1.091
Sugarcane,13.72,343.27,36.19,64.78,68.12,Zaid,55.056
Maize,3.26,145.73,24.28,67.78,1.11,Zaid,3.346
Pulses,14.38,54.75,39.08,38.67,70.11,Kharif,0.643
Pulses,12.31,254.35,10.78,87.59,29.48,Kharif,0.596
Sugarcane,2.67,164.6,10.29,32.35,220.77,Kharif,47.806
Wheat,8.72,293.93,29.06,81.93,195.78,Rabi,2.523
Pulses,12.78,293.72,14.7,36.68,84.17,Kharif,0.7
Tea,6.14,116.06,34.37,59.86,199.35,Zaid,1.111
Cotton,5.82,133.31,31.26,73.54,201.84,Zaid,1.706
Wheat,12.57,380.76,13.76,82.5,58.82,Kharif,2.376
Pulses,12.29,248.59,24.34,64.24,97.03,Zaid,0.883
Pulses,3.95,372.6,13.96,35.72,35.37,Zaid,0.466
Soybean,9.1,378.22,35.77,77.68,165.16,Zaid,1.124
Wheat,3.09,69.07,26.42,31.91,138.66,Zaid,2.015
Soybean,4.41,35.7,21.38,74.27,4.09,Zaid,0.635
Wheat,8.56,241.69,18.46,44.48,184.6,Kharif,2.726
Pulses,0.89,210.89,24.36,32.03,135.44,Zaid,0.656
Cotton,19.19,143.58,10.31,87.07,61.77,Kharif,1.53
Maize,10.44,271.58,34.0,79.76,204.1,Kharif,4.409
Rice,11.09,289.57,37.74,60.38,93.78,Kharif,2.595
Soybean,16.57,117.46,31.93,52.99,13.23,Rabi,1.12
Maize,12.14,341.69,27.48,37.66,124.62,Kharif,5.17
Pulses,15.82,71.98,28.09,54.07,19.77,Kharif,0.64
Tea,14.08,196.9,15.73,80.93,135.87,Kharif,1.454
Pulses,8.16,200.51,28.7,76.18,139.31,Rabi,1.083
Tea,11.26,46.22,39.34,87.32,159.14,Kharif,1.054
Pulses,6.25,342.78,27.52,49.03,146.92,Rabi,0.844
Maize,9.12,345.67,23.0,72.39,242.44,Kharif,4.362
Tea,1.34,362.54,10.5,33.44,163.23,Zaid,0.681
Wheat,1.45,289.74,20.26,94.52,15.71,Rabi,2.081
Sugarcane,11.27,361.67,35.37,92.68,189.95,Zaid,42.728
Pulses,11.96,124.92,29.45,78.27,22.9,Kharif,0.781
Sugarcane,1.46,374.1,29.83,83.27,105.48,Zaid,56.053
Cotton,10.7,50.78,34.82,45.55,172.78,Zaid,0.992
Wheat,12.85,252.13,16.55,34.85,175.45,Kharif,2.277
Maize,13.71,311.07,27.88,37.31,205.47,Zaid,3.565
Rice,16.51,237.57,27.27,68.76,62.68,Zaid,2.723
Sugarcane,12.72,166.21,15.11,81.71,159.08,Rabi,54.67
Pulses,4.39,241.02,39.98,70.01,105.06,Zaid,0.829
Rice,0.83,57.31,38.3,91.41,155.33,Rabi,1.653
Soybean,14.76,188.18,30.17,55.94,130.01,Rabi,1.883
Maize,14.53,104.0,12.15,84.71,130.71,Kharif,4.497
Pulses,13.33,158.79,12.32,75.48,79.57,Kharif,0.818
Rice,6.92,108.65,10.59,53.76,154.96,Rabi,2.044
Pulses,8.21,49.42,28.19,79.47,174.77,Zaid,0.62
Pulses,14.78,215.2,30.91,65.06,224.22,Zaid,0.748
Pulses,4.29,111.11,13.41,85.57,240.28,Zaid,0.524
Tea,13.85,382.31,23.55,37.41,88.51,Rabi,1.185
Pulses,10.0,57.84,34.03,84.04,29.57,Zaid,0.48
Soybean,3.34,373.46,27.03,70.74,105.8,Kharif,1.619
Sugarcane,6.24,62.16,20.15,76.31,19.77,Zaid,44.322
Wheat,10.53,162.27,17.7,76.33,67.83,Rabi,3.673
Pulses,0.83,88.96,23.9,30.45,56.52,Kharif,0.858
Maize,0.71,143.85,10.11,60.1,44.41,Rabi,4.54
Pulses,3.13,180.14,15.98,75.3,247.64,Rabi,0.676
Pulses,17.36,309.3,35.86,91.74,231.1,Rabi,0.61
Sugarcane,12.37,68.85,28.52,37.09,201.18,Zaid,44.176
Sugarcane,1.05,189.54,38.76,58.92,52.41,Kharif,70.066
Pulses,11.75,396.37,30.78,61.91,102.77,Kharif,0.808
Soybean,14.39,56.34,17.16,79.3,53.35,Zaid,1.075
Sugarcane,3.64,325.28,26.1,40.44,116.25,Zaid,52.676
Maize,4.88,385.48,13.49,83.02,162.68,Rabi,3.47
Pulses,5.79,81.75,24.81,43.75,183.78,Rabi,0.602
Soybean,3.81,214.97,26.18,75.33,190.18,Zaid,1.451
Sugarcane,6.51,377.8,18.35,88.6,145.66,Rabi,54.811
Soybean,17.25,302.53,11.99,30.21,149.67,Kharif,1.162
Soybean,14.22,197.44,29.26,93.3,28.92,Kharif,1.342
Cotton,16.84,97.26,14.54,36.88,209.9,Kharif,1.101
Cotton,9.35,29.49,30.73,47.8,220.76,Zaid,1.002
Cotton,13.26,345.6,17.48,94.3,65.01,Zaid,1.246
Tea,8.7,276.83,39.57,39.55,114.73,Kharif,1.172
Wheat,15.92,359.46,29.06,62.16,40.96,Rabi,2.519
Wheat,15.14,60.54,12.21,42.22,98.89,Kharif,1.872
Wheat,1.06,277.85,18.17,58.93,27.79,Rabi,2.535
Sugarcane,1.13,218.01,38.13,67.29,189.74,Zaid,55.957
Tea,4.15,398.06,19.96,39.96,135.91,Rabi,1.25
Cotton,8.7,167.87,20.36,91.61,64.81,Kharif,2.187
Cotton,3.08,342.94,33.85,75.77,42.46,Zaid,1.34
Cotton,11.68,205.89,28.42,45.0,229.24,Kharif,1.709
Tea,7.77,318.04,25.23,78.05,42.76,Zaid,1.208
Tea,4.05,399.25,12.67,93.91,102.17,Zaid,0.853
Soybean,18.43,387.78,21.03,52.5,60.93,Rabi,1.356
Sugarcane,2.54,380.67,28.01,41.29,48.83,Zaid,45.864
Rice,9.88,312.66,23.21,84.87,19.05,Rabi,1.62
Sugarcane,4.66,90.72,29.23,53.44,214.78,Rabi,53.083
Soybean,12.16,298.74,34.77,44.93,137.58,Rabi,1.443
Wheat,13.4,163.77,14.79,43.0,125.32,Zaid,2.413
Wheat,13.17,104.03,17.76,88.26,151.28,Rabi,2.718
Wheat,7.11,388.6,17.54,64.54,27.41,Rabi,1.946
Soybean,5.3,105.44,35.49,38.63,29.05,Zaid,0.951
Wheat,5.76,48.37,33.49,42.41,161.08,Zaid,1.748
Sugarcane,8.36,95.45,16.62,34.28,208.65,Rabi,42.285
Pulses,17.69,312.17,10.63,85.49,29.88,Kharif,0.545
Tea,3.97,382.13,19.82,78.15,105.57,Rabi,1.299
Maize,16.36,43.77,27.11,83.16,85.21,Zaid,3.878
