N,P,K,temperature,humidity,ph,rainfall,label
55,37,65,19.65,84.3,7.07,65.9,papaya
63,26,68,27.35,76.75,6.24,99.25,watermelon
26,71,69,18.78,42.03,7.33,96.46,chickpea
42,56,52,23.6,88.67,5.95,123.48,papaya
50,41,49,20.99,88.43,6.44,91.59,papaya
79,29,68,25.68,75.89,5.27,30.48,watermelon
104,31,29,30.03,84.94,6.43,72.87,muskmelon
31,27,44,25.74,69.02,4.75,70.78,mango
40,154,211,30.52,72.62,6.09,45.28,grapes
31,16,8,28.05,86.61,7.56,134.38,coconut
64,24,41,27.38,79.13,6.23,186.61,jute
0,65,42,19.35,60.92,5.82,2.79,kidneybeans
14,142,205,20.27,77.92,8.14,106.47,apple
29,51,53,23.72,49.36,5.23,146.38,pigeonpeas
105,52,57,25.33,73.08,5.3,93.67,cotton
34,10,13,20.74,82.65,5.96,151.98,coconut
60,72,54,21.59,68.29,7.18,202.14,rice
22,63,17,29.74,76.3,6.69,62.47,blackgram
14,78,0,27.54,93.42,6.55,104.33,pomegranate
32,72,45,18.67,75.23,5.32,48.08,kidneybeans
11,56,54,19.02,57.5,5.91,39.36,kidneybeans
36,20,10,24.23,97.69,6.98,198.59,coconut
104,89,60,25.52,82.27,6.48,134.14,banana
6,66,27,20.38,66.47,6.08,32.93,lentil
19,129,194,22.09,90.9,6.27,103.17,apple
24,86,25,13.81,60.33,6.32,27.02,kidneybeans
101,14,40,29.87,75.42,6.05,27.4,watermelon
0,67,20,24.44,45.82,8.04,84.0,mothbeans
54,119,213,23.74,78.96,5.73,67.88,grapes
4,93,20,23.83,64.7,6.98,68.65,lentil
0,11,0,30.49,84.8,5.39,159.39,coconut
27,68,64,27.16,87.45,6.49,149.31,papaya
4,71,30,22.92,71.56,7.41,83.85,blackgram
15,9,199,26.43,100.0,6.63,116.38,orange
17,28,208,26.43,92.35,5.75,73.88,orange
0,0,201,24.23,100.0,6.69,32.31,orange
22,63,14,21.52,44.5,5.82,48.1,mothbeans
103,47,38,23.94,62.57,6.9,64.59,maize
5,1,209,21.24,96.8,6.6,98.87,orange
62,46,51,29.22,70.94,6.79,63.57,papaya
8,50,18,13.93,59.33,6.78,51.85,kidneybeans
75,46,23,20.67,73.12,7.38,228.39,rice
2,124,190,23.01,92.32,6.7,124.9,apple
118,47,39,24.81,98.1,6.25,74.16,cotton
6,64,24,30.28,37.9,7.08,74.33,mothbeans
14,67,54,18.58,60.75,6.04,37.44,kidneybeans
16,69,51,21.33,63.52,6.73,127.09,pigeonpeas
123,35,12,26.41,77.66,5.51,173.4,coffee
17,59,55,24.78,51.57,6.71,50.01,mungbean
69,61,50,28.39,72.97,6.22,112.93,papaya
8,82,15,19.54,68.6,7.13,125.42,pomegranate
21,73,39,16.73,60.44,5.96,27.07,kidneybeans
43,72,16,14.65,63.51,5.95,63.59,kidneybeans
41,51,59,24.04,100.0,6.51,103.55,papaya
62,44,35,21.44,55.45,7.06,93.24,wheat
108,31,52,33.0,83.57,6.31,70.12,muskmelon
43,127,201,19.74,96.74,6.23,107.56,apple
14,79,48,23.55,63.6,6.13,67.45,kidneybeans
33,28,32,31.57,48.6,5.85,94.8,mango
42,83,46,19.08,79.09,5.8,35.45,kidneybeans
86,46,37,28.46,74.47,6.89,212.78,jute
0,58,37,15.11,69.05,5.44,119.13,kidneybeans
36,68,63,19.1,49.6,8.31,47.2,chickpea
6,120,205,20.11,77.44,6.99,144.88,apple
16,64,27,21.67,62.93,5.98,50.74,kidneybeans
120,44,53,23.28,82.54,6.19,51.87,muskmelon
18,122,179,24.06,79.58,6.83,76.72,grapes
19,68,31,25.58,48.47,6.4,62.75,mothbeans
2,72,1,24.12,73.62,6.73,86.89,pomegranate
87,38,48,25.52,73.48,7.88,114.81,maize
3,6,199,24.16,91.02,6.78,95.68,orange
0,118,198,21.52,96.81,6.88,125.13,apple
57,29,60,21.37,49.65,7.32,79.86,wheat
23,66,20,24.23,56.54,7.14,15.76,lentil
32,148,205,29.54,84.32,7.03,66.91,grapes
115,106,55,26.44,88.26,6.73,93.0,banana
124,31,61,28.11,76.06,6.48,79.26,watermelon
48,79,11,23.08,61.16,6.15,87.31,lentil
36,80,20,15.14,79.87,6.19,85.54,pomegranate
35,64,89,21.01,52.53,7.23,36.61,chickpea
27,48,13,32.39,68.31,5.84,111.49,mango
21,71,17,19.37,72.75,6.55,80.78,lentil
10,126,194,17.9,83.72,7.47,128.39,apple
80,68,41,20.42,94.18,6.77,179.07,rice
25,56,17,32.11,74.59,6.98,57.82,blackgram
10,64,7,16.51,51.6,6.8,56.55,mothbeans
27,36,24,22.96,59.4,6.32,65.18,lentil
128,43,58,21.84,94.66,6.67,69.5,cotton
30,0,35,27.34,50.0,5.45,108.3,mango
24,59,21,23.04,75.09,5.08,149.19,pigeonpeas
25,56,54,24.85,77.62,6.49,108.74,papaya
23,68,25,25.35,66.06,6.81,26.99,blackgram
21,134,212,18.07,71.73,6.39,121.71,apple
26,55,36,26.18,62.28,7.29,46.42,mungbean
48,20,12,28.08,88.34,6.54,154.47,coconut
63,54,48,19.62,71.03,6.94,196.9,jute
46,64,36,23.42,71.77,6.49,62.68,lentil
83,60,7,28.27,53.88,7.35,69.0,wheat
20,140,188,28.41,87.31,6.35,101.33,apple
80,23,49,23.33,62.74,6.09,160.75,jute
28,0,208,21.15,90.85,6.85,83.51,orange
88,71,45,27.22,89.55,5.33,97.0,banana
44,38,10,27.33,90.39,7.26,167.96,coconut
25,117,185,20.98,74.21,6.68,55.11,grapes
5,65,42,16.64,63.25,5.75,62.98,kidneybeans
62,71,12,36.47,54.45,7.01,64.49,blackgram
76,54,30,24.56,94.26,6.45,215.04,rice
10,11,5,25.57,80.23,5.31,167.51,coconut
10,3,203,27.26,84.37,5.73,117.58,orange
36,19,27,31.31,49.07,5.83,93.04,mango
34,148,188,28.77,82.27,6.5,65.06,grapes
88,47,31,17.54,59.25,6.39,80.32,maize
21,149,204,23.76,76.63,6.69,91.63,apple
15,12,193,22.51,90.59,7.72,107.53,orange
71,47,12,18.45,92.93,7.32,198.77,rice
0,136,187,22.51,80.86,5.91,150.12,apple
17,10,205,29.03,95.81,7.13,102.37,orange
85,65,41,19.55,66.4,6.87,160.75,jute
4,76,58,24.81,61.76,6.05,79.24,kidneybeans
89,69,58,28.92,70.94,6.54,64.95,maize
106,10,44,26.47,72.73,5.66,39.98,watermelon
103,69,36,20.64,66.13,5.62,113.08,maize
95,89,39,27.43,82.51,5.26,120.21,banana
0,84,36,19.28,74.58,5.11,47.26,kidneybeans
20,131,187,19.13,82.07,6.36,158.8,apple
52,68,77,20.07,54.38,6.41,102.86,chickpea
47,56,43,14.71,60.29,5.38,49.8,kidneybeans
82,13,29,31.02,95.17,5.84,42.55,muskmelon
69,49,37,25.34,74.01,5.86,173.97,jute
0,2,199,24.76,79.48,6.43,82.06,orange
0,9,190,28.67,96.32,6.76,130.9,orange
83,41,23,21.06,73.35,7.34,227.04,rice
16,150,199,19.42,95.43,6.35,125.51,apple
56,44,28,28.27,60.58,5.83,61.09,mango
46,51,66,29.94,90.61,6.86,96.15,papaya
43,131,209,24.53,87.73,7.16,37.28,apple
39,51,69,16.99,51.66,7.03,56.96,chickpea
57,65,49,23.84,93.45,7.22,122.46,papaya
68,50,53,17.48,71.18,6.02,46.67,kidneybeans
15,66,100,20.06,51.85,6.37,59.59,chickpea
11,141,220,24.99,89.35,6.84,124.44,apple
27,34,49,27.95,61.41,6.38,116.84,mango
106,34,21,17.03,68.84,6.55,165.4,coffee
14,57,5,23.36,63.09,6.85,51.02,lentil
50,127,216,24.53,71.8,7.42,99.77,grapes
49,45,53,32.74,86.91,7.58,77.55,papaya
4,58,15,21.73,86.79,5.53,82.05,pomegranate
63,44,31,24.37,78.0,6.66,98.69,maize
4,0,189,25.36,98.58,6.63,120.0,orange
33,39,38,22.43,61.8,6.35,164.56,pigeonpeas
62,80,83,25.28,52.98,7.19,73.67,chickpea
92,40,41,21.57,85.83,6.67,230.94,rice
70,53,46,21.05,82.53,7.09,73.1,cotton
89,30,35,26.28,73.81,6.82,140.33,coffee
68,39,53,21.12,64.98,6.46,101.97,wheat
12,63,44,20.43,65.82,6.21,150.99,pigeonpeas
79,47,29,21.27,88.04,6.75,180.56,rice
20,66,91,19.62,62.09,6.27,74.7,chickpea
77,62,34,21.9,69.17,6.49,140.31,wheat
21,65,0,25.41,100.0,6.73,125.23,pomegranate
18,59,4,20.76,33.83,6.45,35.04,mothbeans
0,72,26,30.19,61.26,6.91,40.11,lentil
70,12,56,28.93,79.57,6.35,40.07,watermelon
66,58,49,21.23,68.27,6.5,219.79,jute
42,71,16,23.88,60.16,6.1,59.47,lentil
0,65,32,26.99,48.23,6.96,26.73,mungbean
81,50,31,24.97,55.57,7.09,93.38,maize
96,29,14,27.7,74.24,6.22,132.25,coffee
68,46,45,21.31,75.42,6.62,211.12,rice
21,50,46,19.5,72.47,6.29,135.48,pigeonpeas
72,15,55,29.37,95.82,6.6,42.86,muskmelon
29,63,37,22.55,57.64,6.48,34.79,mothbeans
22,32,29,24.05,76.92,6.37,168.42,coconut
40,76,67,18.84,55.56,7.42,67.65,chickpea
75,115,56,27.63,84.92,6.35,101.49,banana
69,42,25,23.75,52.96,6.88,107.06,maize
56,72,62,29.6,93.24,6.31,87.29,papaya
36,73,20,15.12,64.02,5.85,36.74,kidneybeans
26,58,79,17.85,55.46,7.74,60.5,chickpea
122,21,18,25.73,86.91,6.51,124.38,coffee
24,0,228,26.57,76.53,6.15,120.4,orange
42,22,22,31.33,89.64,7.28,95.16,coconut
21,5,37,28.05,37.75,5.81,114.53,mango
19,146,200,21.28,84.47,6.3,44.39,grapes
100,26,46,28.81,72.92,5.66,33.07,muskmelon
65,43,41,21.49,69.59,6.53,178.44,rice
88,40,31,25.67,74.44,6.72,120.98,jute
30,26,15,28.85,50.15,5.76,113.59,mango
31,60,36,24.43,79.62,6.83,132.33,pomegranate
41,76,10,34.54,66.55,6.93,84.1,blackgram
27,69,16,27.07,52.62,7.13,58.99,blackgram
79,35,32,23.14,75.12,6.31,230.16,rice
28,25,8,28.08,83.17,6.64,131.89,coconut
2,63,44,22.53,40.25,5.55,148.4,pigeonpeas
33,29,36,29.65,83.72,5.94,191.69,coconut
2,1,208,20.79,100.0,6.88,100.51,orange
26,74,50,21.02,51.04,6.12,45.8,lentil
53,47,30,18.69,56.44,7.5,117.96,wheat
37,69,35,24.87,40.74,5.83,11.21,mothbeans
100,9,56,26.88,80.98,7.05,23.74,watermelon
115,77,45,30.4,92.78,6.32,88.63,banana
16,10,29,26.33,84.36,6.64,156.63,coconut
104,17,49,32.09,81.49,6.31,50.94,muskmelon
23,71,50,25.65,63.46,6.44,142.12,pigeonpeas
88,61,43,23.75,77.2,6.51,181.24,jute
114,28,54,25.02,83.4,6.46,68.74,watermelon
0,68,40,24.45,57.66,6.19,67.46,lentil
18,77,2,28.55,68.62,7.85,40.73,blackgram
101,22,19,25.57,88.26,6.06,143.43,coffee
24,15,193,28.01,79.13,6.45,124.17,orange
64,45,56,24.34,53.49,6.96,88.3,maize
62,30,34,21.86,56.95,6.68,103.8,wheat
92,50,57,22.21,100.0,6.81,183.57,rice
55,24,38,28.51,86.08,6.39,109.22,papaya
124,86,43,23.24,83.17,5.94,144.35,banana
44,55,6,24.71,54.46,6.72,53.49,mungbean
82,33,36,22.54,99.95,5.3,54.6,muskmelon
92,30,11,24.8,44.06,6.69,65.75,wheat
55,14,44,29.4,74.91,6.6,92.71,maize
121,72,62,21.23,99.35,6.48,116.16,cotton
19,73,0,21.58,81.87,7.25,83.0,pomegranate
84,28,46,30.75,94.68,5.68,69.83,muskmelon
2,82,16,28.36,49.37,5.58,72.3,mothbeans
21,89,48,17.59,60.84,5.63,75.71,kidneybeans
75,50,56,19.55,57.95,6.6,95.72,wheat
25,59,28,20.79,63.75,6.05,55.48,mothbeans
62,42,54,23.0,61.77,6.02,115.59,maize
90,26,41,28.68,84.2,6.11,38.51,muskmelon
91,89,55,24.57,91.35,6.15,123.25,banana
91,18,66,29.6,86.82,6.06,30.98,watermelon
108,49,28,24.58,62.19,6.48,195.52,jute
102,43,40,20.25,46.88,6.48,64.4,wheat
105,14,44,25.05,59.14,6.75,24.99,muskmelon
86,31,55,27.04,97.81,6.78,73.32,muskmelon
52,84,22,21.09,62.11,8.35,54.23,blackgram
61,22,47,29.48,54.95,7.22,97.05,wheat
122,13,48,34.51,96.55,5.16,59.68,muskmelon
127,52,57,27.63,77.68,6.06,105.69,cotton
13,70,28,26.89,50.19,7.6,64.19,lentil
34,147,206,24.31,72.11,6.76,128.91,grapes
67,48,37,28.36,67.61,6.65,120.56,maize
19,56,44,26.96,56.12,6.5,115.24,pigeonpeas
10,37,34,32.62,50.57,6.37,16.15,mungbean
118,45,33,22.23,83.04,5.24,51.16,muskmelon
121,55,46,21.37,93.49,7.71,88.58,cotton
34,32,18,29.93,68.69,5.97,154.1,coconut
107,44,17,26.96,84.52,6.94,150.98,coffee
12,132,186,20.53,80.95,6.44,83.17,apple
79,39,45,17.33,57.65,7.22,45.16,wheat
0,137,204,20.97,67.76,7.27,110.35,grapes
30,65,10,22.57,84.64,7.17,61.65,pomegranate
3,58,0,19.73,61.43,5.52,7.97,lentil
94,40,35,24.03,79.51,6.08,48.3,watermelon
46,44,32,31.53,56.61,6.27,87.01,mango
115,51,70,20.87,81.63,6.72,98.0,cotton
96,84,38,27.32,81.2,5.25,129.89,banana
35,75,28,23.26,48.15,6.05,118.39,pigeonpeas
34,80,9,23.27,62.36,6.85,0.0,lentil
52,80,46,19.11,68.15,4.84,58.03,kidneybeans
15,75,28,18.18,68.57,5.63,69.26,kidneybeans
102,39,4,30.54,82.47,6.73,147.57,coffee
44,19,21,28.02,100.0,7.17,167.53,coconut
40,62,27,23.67,83.53,6.11,151.64,pomegranate
43,77,41,22.69,63.59,6.11,172.6,pigeonpeas
30,147,217,23.91,81.11,7.06,37.48,grapes
12,43,16,27.32,70.72,6.3,21.99,blackgram
122,79,26,27.86,68.45,6.22,115.29,banana
44,79,40,16.75,48.79,5.26,112.79,kidneybeans
89,21,51,27.94,91.87,5.87,7.22,watermelon
25,63,30,23.65,46.92,6.77,71.9,mothbeans
29,68,31,21.15,78.24,5.56,49.7,kidneybeans
80,7,71,27.14,83.06,5.9,66.19,watermelon
91,46,32,20.87,49.27,7.53,77.42,maize
65,74,28,22.93,60.07,7.01,90.37,wheat
86,24,24,30.46,76.13,6.9,141.8,coffee
77,56,29,23.15,56.33,7.05,102.23,wheat
54,42,52,26.86,69.1,6.86,117.9,maize
22,52,10,24.29,58.83,6.37,44.1,mothbeans
87,69,53,22.48,85.07,6.17,187.6,jute
0,0,198,27.51,89.96,6.28,61.86,orange
10,76,30,28.51,74.22,6.39,71.7,blackgram
30,62,30,19.84,71.4,6.0,169.55,pigeonpeas
61,20,39,27.3,80.67,5.89,117.42,maize
14,59,24,19.51,60.25,6.17,68.05,mothbeans
21,65,53,25.82,54.11,5.81,148.6,pigeonpeas
47,137,191,21.2,85.39,6.38,26.85,grapes
38,66,5,16.88,56.69,4.98,34.06,kidneybeans
19,11,39,25.39,59.52,6.34,68.01,mango
69,49,46,26.96,91.87,6.68,107.28,papaya
4,140,207,19.69,100.0,6.34,148.25,apple
83,24,38,24.43,82.81,5.97,43.11,watermelon
23,144,184,25.61,66.63,6.08,44.68,grapes
14,0,188,21.56,84.69,5.81,105.09,orange
24,45,55,25.53,89.69,6.37,129.0,papaya
55,55,30,21.35,73.33,6.77,206.47,jute
79,42,34,22.77,93.6,6.33,93.66,papaya
14,101,8,19.94,65.88,5.46,39.12,lentil
99,46,44,21.48,55.12,6.25,59.0,wheat
20,141,201,26.11,65.81,4.54,82.09,grapes
13,3,206,25.64,99.26,6.98,112.28,orange
103,21,33,14.25,96.9,6.61,61.88,cotton
11,91,51,17.29,74.08,5.25,44.39,kidneybeans
118,60,57,25.71,91.1,5.94,73.17,cotton
0,57,17,19.21,44.09,6.83,85.68,mothbeans
78,26,43,28.37,67.7,6.47,159.08,coffee
24,133,196,24.68,75.26,7.14,72.16,grapes
6,131,200,20.95,97.22,6.61,132.7,apple
26,24,0,26.59,89.51,6.42,134.16,coconut
69,75,63,29.36,87.31,5.51,145.4,banana
33,50,9,22.58,52.8,6.48,37.85,mungbean
71,31,53,23.77,63.56,8.1,112.47,maize
28,69,45,10.4,70.46,5.86,59.44,kidneybeans
99,0,45,27.22,81.02,6.03,61.04,muskmelon
76,25,54,31.49,86.44,5.33,26.02,muskmelon
28,138,208,22.57,75.74,6.82,92.88,grapes
116,20,46,28.7,87.18,7.02,87.29,watermelon
114,30,34,25.6,91.58,6.52,28.16,watermelon
32,67,84,18.54,44.59,7.02,47.82,chickpea
51,70,43,20.08,54.85,6.65,70.06,kidneybeans
47,85,88,22.37,50.67,7.71,85.24,chickpea
88,37,52,28.99,73.01,7.1,87.53,watermelon
48,62,48,35.03,86.07,7.03,120.13,papaya
7,70,2,31.45,53.36,7.06,21.84,mungbean
68,50,49,19.67,46.63,6.22,74.48,maize
91,42,38,22.38,75.61,6.63,162.46,jute
61,69,38,27.65,77.17,7.0,94.21,maize
89,57,36,23.98,71.99,6.96,200.38,rice
98,22,51,27.01,76.29,7.05,62.38,watermelon
73,48,56,25.78,41.48,6.83,109.87,maize
20,76,73,25.16,65.94,6.62,61.26,chickpea
16,72,46,25.21,45.4,4.84,171.45,pigeonpeas
90,14,56,31.87,80.84,5.83,70.79,watermelon
18,53,38,23.47,54.93,6.15,195.34,pigeonpeas
14,58,8,26.88,60.16,6.96,22.59,mungbean
85,79,39,25.84,88.12,6.05,170.17,banana
8,86,44,23.88,95.0,5.97,136.88,pomegranate
16,76,26,29.93,51.45,7.5,45.76,blackgram
22,51,32,27.38,44.42,6.99,24.74,lentil
88,72,40,19.61,43.97,6.43,94.17,wheat
115,49,61,25.35,76.67,6.43,77.02,cotton
77,59,39,22.8,57.57,6.47,119.8,wheat
13,78,23,23.97,67.03,6.74,81.16,lentil
38,126,198,23.38,86.51,6.73,123.88,apple
97,19,16,29.24,93.48,5.49,177.28,coffee
34,130,207,21.57,92.46,7.0,41.38,grapes
33,75,25,23.25,55.4,6.74,53.22,mungbean
18,37,27,29.48,94.81,6.76,173.21,coconut
0,46,25,23.36,53.04,6.85,56.64,mothbeans
68,49,28,21.34,72.42,7.48,205.88,rice
39,122,210,27.04,89.98,6.09,113.08,apple
75,59,63,20.91,55.77,6.88,111.33,chickpea
83,91,68,32.71,100.0,5.55,175.61,banana
59,92,6,32.75,61.8,7.06,58.42,blackgram
109,77,49,27.27,80.86,6.5,121.09,banana
108,23,51,30.79,79.71,5.71,49.7,muskmelon
30,70,36,25.99,78.42,5.98,130.45,pomegranate
104,41,13,19.7,84.68,6.03,115.29,coffee
72,44,43,18.66,70.74,6.14,199.66,rice
72,72,29,24.29,70.27,5.83,213.68,jute
0,59,36,27.49,55.64,6.88,52.41,mungbean
19,77,4,21.77,84.07,7.45,107.15,pomegranate
94,42,38,22.03,78.32,6.84,178.36,jute
73,44,23,25.54,60.74,5.92,33.19,maize
116,39,44,23.51,83.22,6.97,73.41,cotton
28,43,56,25.44,87.11,6.62,95.32,papaya
127,40,45,29.67,76.76,6.1,114.27,cotton
92,64,30,25.89,85.3,6.91,252.42,rice
36,82,29,29.46,84.34,6.82,95.39,pomegranate
39,22,26,36.44,54.25,6.58,79.97,mango
78,61,25,18.72,52.79,7.13,91.2,maize
10,132,174,25.45,85.28,6.87,65.12,grapes
27,69,40,15.74,56.28,7.11,141.0,pigeonpeas
89,14,36,27.33,93.6,6.0,71.49,muskmelon
22,125,200,21.37,88.73,6.14,94.03,apple
96,71,82,27.73,73.19,6.43,124.23,banana
75,50,32,29.95,79.04,6.04,157.1,jute
80,22,56,28.55,93.52,6.11,41.68,watermelon
0,17,184,23.98,87.51,6.83,105.7,orange
90,7,37,28.3,83.22,5.66,66.95,watermelon
11,156,218,20.59,85.97,5.99,94.26,apple
70,58,56,29.85,81.8,6.47,77.44,papaya
99,36,42,32.59,79.63,6.54,47.97,watermelon
86,80,53,26.18,84.68,6.14,150.81,banana
87,24,43,25.91,84.4,6.17,14.09,muskmelon
83,15,26,25.05,77.25,6.81,38.16,watermelon
13,105,29,31.11,96.16,6.62,117.54,pomegranate
43,104,84,19.06,57.37,7.24,85.5,chickpea
73,15,0,30.4,82.66,6.83,157.53,coffee
44,74,86,20.23,55.94,7.24,44.06,chickpea
88,38,20,26.67,93.95,6.0,205.55,jute
40,30,28,30.35,84.26,5.57,148.19,coconut
93,43,40,24.04,58.72,6.82,101.98,maize
100,28,32,24.98,86.14,6.28,154.89,coffee
45,10,37,31.87,69.39,6.55,140.01,coconut
30,78,30,24.75,48.15,6.21,86.78,mothbeans
58,62,41,26.01,56.43,5.72,125.45,maize
43,71,77,24.47,37.19,6.59,72.42,chickpea
20,102,24,26.84,47.36,7.69,26.37,blackgram
16,60,20,29.3,61.85,7.27,67.66,blackgram
95,75,54,25.25,83.19,5.34,99.03,banana
102,42,37,21.15,44.24,6.34,69.9,wheat
75,71,62,22.63,60.18,6.73,80.04,maize
44,70,28,21.07,50.09,5.65,174.47,pigeonpeas
9,131,208,20.55,88.84,6.31,106.44,grapes
115,27,60,22.82,83.72,5.86,42.99,muskmelon
92,66,41,17.63,60.14,7.15,104.43,maize
25,61,44,29.5,53.06,6.78,63.73,lentil
92,33,52,26.41,91.44,5.58,52.38,muskmelon
30,41,42,25.27,87.03,5.79,170.62,coconut
26,9,0,31.05,90.76,6.76,134.82,coconut
108,69,74,26.25,86.27,6.21,133.68,cotton
110,73,38,25.48,81.92,6.74,53.81,banana
56,39,56,28.99,84.51,6.08,35.07,muskmelon
8,138,185,19.75,95.31,7.8,121.94,apple
87,17,58,28.64,79.36,6.08,71.42,watermelon
0,72,24,21.96,49.72,7.24,57.29,lentil
0,3,29,33.06,92.22,6.66,149.47,coconut
29,81,16,20.29,95.2,6.45,153.26,pomegranate
95,42,36,21.82,70.29,6.65,211.53,rice
49,93,66,21.42,42.59,7.28,52.03,chickpea
2,46,13,23.1,61.6,7.25,37.73,blackgram
76,52,35,23.05,69.93,7.1,101.51,maize
85,83,67,30.37,81.83,5.84,111.72,banana
0,65,41,25.7,60.17,6.78,29.63,blackgram
35,66,39,18.1,56.86,5.62,95.25,pigeonpeas
35,75,36,15.48,57.91,6.07,95.72,kidneybeans
35,0,206,28.44,96.07,6.92,114.69,orange
31,23,25,27.82,84.58,7.26,117.18,coconut
1,1,201,23.28,87.81,7.17,138.45,orange
63,58,98,21.5,38.81,7.18,22.5,chickpea
18,66,36,15.98,51.89,5.85,165.84,pigeonpeas
13,17,33,29.54,58.47,6.88,77.31,mango
70,51,52,23.66,82.53,6.38,79.27,papaya
0,54,13,17.89,50.38,6.38,8.18,mothbeans
25,44,84,15.31,50.76,6.87,91.98,chickpea
28,79,49,34.56,49.51,7.31,44.58,mungbean
120,55,52,26.78,84.98,6.77,147.45,jute
39,67,15,25.43,76.49,7.01,83.6,pomegranate
22,135,199,21.67,89.07,6.94,125.22,apple
27,73,35,30.37,62.76,6.66,0.27,mungbean
17,2,40,27.32,82.65,6.3,112.17,coconut
4,35,21,26.39,88.45,6.62,169.18,coconut
119,90,41,30.54,77.6,5.38,100.7,banana
0,139,216,22.84,96.47,7.05,140.91,apple
118,43,59,23.87,69.45,5.53,56.78,cotton
15,56,42,25.66,52.51,7.05,50.02,lentil
67,46,44,25.93,78.17,6.41,177.34,rice
53,63,74,20.8,46.51,6.97,127.49,chickpea
3,24,6,28.89,80.02,5.97,169.99,coconut
61,88,47,18.22,63.3,5.32,66.94,kidneybeans
85,51,54,27.0,63.11,5.88,63.01,wheat
11,125,201,21.32,95.19,6.27,152.96,apple
115,40,36,20.13,50.56,6.48,124.73,wheat
